actual	predicted
7975	9585.8
14268	9142.0
11614	9669.1
7027	10739.7
7967	9493.8
7511	10943.2
12280	10435.2
11295	9777.3
5395	9777.3
7744	9669.1
5466	10525.1
6571	10943.2
9249	9585.8
8506	9777.3
9491	10739.7
10104	10332.4
10073	10790.5
8943	10381.2
5417	12259.0
12543	9777.3
12892	9493.8
8748	9306.1
10161	9669.1
8581	10943.2
8444	10739.7
10390	9669.1
10536	10383.3
12392	9582.7
6685	9493.8
6365	9585.8
12869	9669.1
14561	10299.0
9859	9585.8
10745	10525.1
7141	10790.5
12683	10299.0
14986	9582.7
7479	10381.2
9752	7973.5
7782	11088.0
12526	9306.1
6148	9087.7
5878	10739.7
13004	9306.1
11303	9306.1
9199	10739.7
12208	9306.1
6678	9777.3
13967	9777.3
11541	9669.1
7734	10943.2
12400	8802.6
6693	9142.0
11709	10381.2
12390	9777.3
12330	10525.1
13322	10381.2
8636	10299.0
11015	10332.4
6066	10299.0
12206	9777.3
9465	10435.2
11694	9582.7
10387	9777.3
14874	8802.6
10276	9777.3
11863	9777.3
11528	10383.3
6154	10739.7
9887	10943.2
8051	9777.3
14555	9585.8
7368	10381.2
13684	9306.1
7489	9585.8
13529	10381.2
6802	10299.0
7911	6390.0
14467	10739.7
10588	11088.0
10675	9306.1
8420	9433.5
12215	9493.8
5064	10299.0
12860	9669.1
6899	9585.8
7143	9493.8
6060	10299.0
12270	8802.6
5769	9306.1
9911	10383.3
14274	12259.0
8769	9582.7
13164	9433.5
10463	9306.1
14062	10525.1
10116	9777.3
6059	9306.1
11278	10943.2
10450	10739.7
9380	9585.8
9555	11640.0
9282	9777.3
12392	9585.8
10051	9777.3
9495	10525.1
13838	9306.1
6585	9433.5
11776	10299.0
